Ciudad,Cultivo,year,Mes,Kilos,Hectáreas,date
Bilbao,Olivo,2008,1,16795,475.8500101408589,2008-01-15
Bilbao,Olivo,2008,2,45732,302.4565773937786,2008-02-15
Bilbao,Olivo,2008,3,7265,86.4373149647393,2008-03-15
Bilbao,Olivo,2008,4,38194,235.0319570632749,2008-04-15
Bilbao,Olivo,2008,5,45131,80.00474078175098,2008-05-15
Bilbao,Olivo,2008,6,42090,20.0864022049432,2008-06-15
Bilbao,Olivo,2008,7,1769,363.77939841074414,2008-07-15
Bilbao,Olivo,2008,8,3433,99.09423393147932,2008-08-15
Bilbao,Olivo,2008,9,40188,312.5659397175811,2008-09-15
Bilbao,Olivo,2008,10,20769,267.13065149979656,2008-10-15
Bilbao,Olivo,2008,11,28480,152.70227869704053,2008-11-15
Bilbao,Olivo,2008,12,26658,205.9318761404752,2008-12-15
Bilbao,Olivo,2009,1,19431,153.15087778225688,2009-01-15
Bilbao,Olivo,2009,2,1189,54.3971529210822,2009-02-15
Bilbao,Olivo,2009,3,36773,107.84015325759628,2009-03-15
Bilbao,Olivo,2009,4,2267,300.2831387424008,2009-04-15
Bilbao,Olivo,2009,5,12394,431.37079930079705,2009-05-15
Bilbao,Olivo,2009,6,42606,93.55682060677285,2009-06-15
Bilbao,Olivo,2009,7,15502,16.4998309683346,2009-07-15
Bilbao,Olivo,2009,8,9792,483.1596962065341,2009-08-15
Bilbao,Olivo,2009,9,9433,198.85408624455889,2009-09-15
Bilbao,Olivo,2009,10,24897,57.859335863128095,2009-10-15
Bilbao,Olivo,2009,11,24483,69.79873507394163,2009-11-15
Bilbao,Olivo,2009,12,18159,26.85037534645701,2009-12-15
Bilbao,Olivo,2010,1,15541,201.619697710888,2010-01-15
Bilbao,Olivo,2010,2,2585,334.6359193334512,2010-02-15
Bilbao,Olivo,2010,3,20457,218.3263785007099,2010-03-15
Bilbao,Olivo,2010,4,44573,277.888036878207,2010-04-15
Bilbao,Olivo,2010,5,41757,25.343513303223705,2010-05-15
Bilbao,Olivo,2010,6,7873,230.3795253511852,2010-06-15
Bilbao,Olivo,2010,7,38065,448.4654017095479,2010-07-15
Bilbao,Olivo,2010,8,33606,461.7183751613272,2010-08-15
Bilbao,Olivo,2010,9,30127,289.5175474586457,2010-09-15
Bilbao,Olivo,2010,10,26851,32.16137156616365,2010-10-15
Bilbao,Olivo,2010,11,25276,200.45187194784617,2010-11-15
Bilbao,Olivo,2010,12,9529,274.4491448706491,2010-12-15
Bilbao,Olivo,2011,1,22271,184.80913007985876,2011-01-15
Bilbao,Olivo,2011,2,22243,307.4467813664755,2011-02-15
Bilbao,Olivo,2011,3,40976,155.17401779500037,2011-03-15
Bilbao,Olivo,2011,4,49984,493.5745989342535,2011-04-15
Bilbao,Olivo,2011,5,3027,153.80920561183868,2011-05-15
Bilbao,Olivo,2011,6,49190,409.5760999428687,2011-06-15
Bilbao,Olivo,2011,7,40504,358.5575568468385,2011-07-15
Bilbao,Olivo,2011,8,13666,46.28187934970428,2011-08-15
Bilbao,Olivo,2011,9,27854,329.0277424959528,2011-09-15
Bilbao,Olivo,2011,10,23662,426.5189031170017,2011-10-15
Bilbao,Olivo,2011,11,14067,172.1400321777981,2011-11-15
Bilbao,Olivo,2011,12,24599,191.70094357715053,2011-12-15
Bilbao,Olivo,2012,1,12837,169.33982779310605,2012-01-15
Bilbao,Olivo,2012,2,31818,299.7359159767863,2012-02-15
Bilbao,Olivo,2012,3,11965,444.7342438624,2012-03-15
Bilbao,Olivo,2012,4,6056,197.63416862935705,2012-04-15
Bilbao,Olivo,2012,5,9110,359.4899457392676,2012-05-15
Bilbao,Olivo,2012,6,18412,285.0258268090532,2012-06-15
Bilbao,Olivo,2012,7,7910,135.47347815304877,2012-07-15
Bilbao,Olivo,2012,8,1206,219.4950989956893,2012-08-15
Bilbao,Olivo,2012,9,24419,62.86679922671918,2012-09-15
Bilbao,Olivo,2012,10,49702,448.9241618800245,2012-10-15
Bilbao,Olivo,2012,11,42523,286.005030268428,2012-11-15
Bilbao,Olivo,2012,12,23403,454.7075722237856,2012-12-15
Bilbao,Olivo,2013,1,41342,306.1645158461304,2013-01-15
Bilbao,Olivo,2013,2,2678,380.22005788609385,2013-02-15
Bilbao,Olivo,2013,3,34827,471.9982495734107,2013-03-15
Bilbao,Olivo,2013,4,17198,151.97821192774634,2013-04-15
Bilbao,Olivo,2013,5,23299,465.5518496478608,2013-05-15
Bilbao,Olivo,2013,6,43557,320.36784069010747,2013-06-15
Bilbao,Olivo,2013,7,3693,233.701939536626,2013-07-15
Bilbao,Olivo,2013,8,47699,101.41932885415756,2013-08-15
Bilbao,Olivo,2013,9,49925,442.8073268702455,2013-09-15
Bilbao,Olivo,2013,10,19047,405.6456760303906,2013-10-15
Bilbao,Olivo,2013,11,16707,184.5859406577177,2013-11-15
Bilbao,Olivo,2013,12,24776,143.3448021984713,2013-12-15
Bilbao,Olivo,2014,1,2306,219.2828164268656,2014-01-15
Bilbao,Olivo,2014,2,28251,182.7587396037428,2014-02-15
Bilbao,Olivo,2014,3,10474,13.406543960283445,2014-03-15
Bilbao,Olivo,2014,4,22959,271.70381549396654,2014-04-15
Bilbao,Olivo,2014,5,4748,349.29365611623246,2014-05-15
Bilbao,Olivo,2014,6,14545,175.4314339877777,2014-06-15
Bilbao,Olivo,2014,7,35766,92.46261066473598,2014-07-15
