Ciudad,Cultivo,year,Mes,Kilos,Hectáreas
Bilbao,Olivo,2008,1,16795,475.8500101408589
Bilbao,Olivo,2008,2,45732,302.4565773937786
Bilbao,Olivo,2008,3,7265,86.4373149647393
Bilbao,Olivo,2008,4,38194,235.03195706327492
Bilbao,Olivo,2008,5,45131,80.00474078175098
Bilbao,Olivo,2008,6,42090,20.086402204943198
Bilbao,Olivo,2008,7,1769,363.77939841074414
Bilbao,Olivo,2008,8,3433,99.09423393147931
Bilbao,Olivo,2008,9,40188,312.5659397175811
Bilbao,Olivo,2008,10,20769,267.13065149979656
Bilbao,Olivo,2008,11,28480,152.70227869704053
Bilbao,Olivo,2008,12,26658,205.9318761404752
Bilbao,Olivo,2009,1,19431,153.15087778225688
Bilbao,Olivo,2009,2,1189,54.397152921082196
Bilbao,Olivo,2009,3,36773,107.84015325759627
Bilbao,Olivo,2009,4,2267,300.2831387424008
Bilbao,Olivo,2009,5,12394,431.37079930079705
Bilbao,Olivo,2009,6,42606,93.55682060677285
Bilbao,Olivo,2009,7,15502,16.4998309683346
Bilbao,Olivo,2009,8,9792,483.1596962065341
Bilbao,Olivo,2009,9,9433,198.85408624455889
Bilbao,Olivo,2009,10,24897,57.859335863128095
Bilbao,Olivo,2009,11,24483,69.79873507394163
Bilbao,Olivo,2009,12,18159,26.850375346457014
Bilbao,Olivo,2010,1,15541,201.61969771088798
Bilbao,Olivo,2010,2,2585,334.63591933345117
Bilbao,Olivo,2010,3,20457,218.3263785007099
Bilbao,Olivo,2010,4,44573,277.888036878207
Bilbao,Olivo,2010,5,41757,25.343513303223705
Bilbao,Olivo,2010,6,7873,230.37952535118518
Bilbao,Olivo,2010,7,38065,448.4654017095479
Bilbao,Olivo,2010,8,33606,461.71837516132723
Bilbao,Olivo,2010,9,30127,289.5175474586457
Bilbao,Olivo,2010,10,26851,32.16137156616365
Bilbao,Olivo,2010,11,25276,200.45187194784617
Bilbao,Olivo,2010,12,9529,274.4491448706491
Bilbao,Olivo,2011,1,22271,184.80913007985873
Bilbao,Olivo,2011,2,22243,307.4467813664755
Bilbao,Olivo,2011,3,40976,155.17401779500037
Bilbao,Olivo,2011,4,49984,493.57459893425346
Bilbao,Olivo,2011,5,3027,153.80920561183868
Bilbao,Olivo,2011,6,49190,409.5760999428687
Bilbao,Olivo,2011,7,40504,358.5575568468385
Bilbao,Olivo,2011,8,13666,46.281879349704276
Bilbao,Olivo,2011,9,27854,329.0277424959528
Bilbao,Olivo,2011,10,23662,426.5189031170017
Bilbao,Olivo,2011,11,14067,172.1400321777981
Bilbao,Olivo,2011,12,24599,191.70094357715053
Bilbao,Olivo,2012,1,12837,169.33982779310605
Bilbao,Olivo,2012,2,31818,299.7359159767863
Bilbao,Olivo,2012,3,11965,444.7342438624
Bilbao,Olivo,2012,4,6056,197.63416862935702
Bilbao,Olivo,2012,5,9110,359.48994573926757
Bilbao,Olivo,2012,6,18412,285.02582680905317
Bilbao,Olivo,2012,7,7910,135.47347815304875
Bilbao,Olivo,2012,8,1206,219.49509899568932
Bilbao,Olivo,2012,9,24419,62.86679922671918
Bilbao,Olivo,2012,10,49702,448.9241618800245
Bilbao,Olivo,2012,11,42523,286.005030268428
Bilbao,Olivo,2012,12,23403,454.7075722237856
Bilbao,Olivo,2013,1,41342,306.1645158461304
Bilbao,Olivo,2013,2,2678,380.22005788609385
Bilbao,Olivo,2013,3,34827,471.9982495734107
Bilbao,Olivo,2013,4,17198,151.97821192774634
Bilbao,Olivo,2013,5,23299,465.5518496478608
Bilbao,Olivo,2013,6,43557,320.36784069010747
Bilbao,Olivo,2013,7,3693,233.701939536626
Bilbao,Olivo,2013,8,47699,101.41932885415756
Bilbao,Olivo,2013,9,49925,442.80732687024545
Bilbao,Olivo,2013,10,19047,405.64567603039063
Bilbao,Olivo,2013,11,16707,184.5859406577177
Bilbao,Olivo,2013,12,24776,143.3448021984713
Bilbao,Olivo,2014,1,2306,219.2828164268656
Bilbao,Olivo,2014,2,28251,182.7587396037428
Bilbao,Olivo,2014,3,10474,13.406543960283445
Bilbao,Olivo,2014,4,22959,271.70381549396654
Bilbao,Olivo,2014,5,4748,349.29365611623246
Bilbao,Olivo,2014,6,14545,175.4314339877777
Bilbao,Olivo,2014,7,35766,92.46261066473598
Bilbao,Olivo,2014,8,31303,283.4699809884972
Bilbao,Olivo,2014,9,47576,134.4185528278289
Bilbao,Olivo,2014,10,18675,133.37332495442843
Bilbao,Olivo,2014,11,45417,359.0125890629766
Bilbao,Olivo,2014,12,2636,149.57184224495913
Bilbao,Olivo,2015,1,28728,140.72269699488965
Bilbao,Olivo,2015,2,29673,256.3127213821421
Bilbao,Olivo,2015,3,47645,26.19485912126871
Bilbao,Olivo,2015,4,39623,455.05028412366033
Bilbao,Olivo,2015,5,47717,80.99848732469931
Bilbao,Olivo,2015,6,39559,280.9176136449507
Bilbao,Olivo,2015,7,5931,49.61812990303047
Bilbao,Olivo,2015,8,45215,126.44239655627584
Bilbao,Olivo,2015,9,26342,403.53848062614895
Bilbao,Olivo,2015,10,41772,319.82985699085395
Bilbao,Olivo,2015,11,1197,205.423976797831
Bilbao,Olivo,2015,12,45542,54.241987326660066
Bilbao,Olivo,2016,1,26184,83.85159654306044
Bilbao,Olivo,2016,2,21666,101.39407009592857
Bilbao,Olivo,2016,3,16708,430.59581435872275
Bilbao,Olivo,2016,4,3811,342.00653730271836
Bilbao,Olivo,2016,5,7546,358.46327089462875
Bilbao,Olivo,2016,6,31206,120.98292984698959
Bilbao,Olivo,2016,7,3911,57.12651003479617
Bilbao,Olivo,2016,8,9680,348.55949167020833
Bilbao,Olivo,2016,9,6759,263.6981617584653
Bilbao,Olivo,2016,10,12111,77.38526263153669
Bilbao,Olivo,2016,11,9155,370.25589842797837
Bilbao,Olivo,2016,12,48025,463.09987295649574
Bilbao,Olivo,2017,1,21445,350.9343556790903
Bilbao,Olivo,2017,2,17646,333.39218255674774
Bilbao,Olivo,2017,3,32065,491.26248823142345
Bilbao,Olivo,2017,4,17371,269.52878339444317
Bilbao,Olivo,2017,5,3049,498.1643128813829
Bilbao,Olivo,2017,6,48357,449.6357213971301
Bilbao,Olivo,2017,7,30855,320.2197140639013
Bilbao,Olivo,2017,8,44016,146.64696277016913
Bilbao,Olivo,2017,9,43642,365.71828264641726
Bilbao,Olivo,2017,10,2154,429.5989030202653
Bilbao,Olivo,2017,11,13183,426.9549398960812
Bilbao,Olivo,2017,12,33711,394.8169190458324
Bilbao,Olivo,2018,1,49354,192.41855561525412
Bilbao,Olivo,2018,2,39360,335.11586686294737
Bilbao,Olivo,2018,3,47940,149.1212776213582
Bilbao,Olivo,2018,4,22357,278.8795567896272
Bilbao,Olivo,2018,5,3869,229.7278300632612
Bilbao,Olivo,2018,6,47760,96.20337381189924
Bilbao,Olivo,2018,7,39467,126.25205287343204
Bilbao,Olivo,2018,8,26876,97.62312751845111
Bilbao,Olivo,2018,9,23399,374.6435562977155
Bilbao,Olivo,2018,10,34986,332.23031722716826
Bilbao,Olivo,2018,11,45064,275.84471297190066
Bilbao,Olivo,2018,12,42914,190.18074349912243
Bilbao,Vid,2008,1,20830,132.72629111673623
Bilbao,Vid,2008,2,15373,489.65750055475445
Bilbao,Vid,2008,3,9754,447.1028120367855
Bilbao,Vid,2008,4,20738,222.85323910011005
Bilbao,Vid,2008,5,49404,256.2921756215442
Bilbao,Vid,2008,6,40790,251.33366997124332
Bilbao,Vid,2008,7,30124,122.79078143836209
Bilbao,Vid,2008,8,10007,147.57845759601935
Bilbao,Vid,2008,9,38410,386.5914670100914
Bilbao,Vid,2008,10,41447,96.78423290945398
Bilbao,Vid,2008,11,19589,477.4250027312678
Bilbao,Vid,2008,12,37212,442.91207091046687
Bilbao,Vid,2009,1,33635,17.57374209914504
Bilbao,Vid,2009,2,19711,172.0676492885517
