date,ciudad,cultivo,superficie_ha,produccion_toneladas,tempC,uvIndex,precipMM,sunHour
2008-07-01,madrid,Trigo,1500,3000,33,6,0.0,14.5
2008-07-02,madrid,Trigo,1500,3000,27,6,0.0,14.5
2008-07-03,madrid,Trigo,1500,3000,27,5,0.0,14.5
2008-07-04,madrid,Trigo,1500,3000,31,6,0.0,14.5
2008-07-05,madrid,Trigo,1500,3000,32,6,0.0,14.5
2008-07-06,madrid,Trigo,1500,3000,28,6,0.0,14.5
2008-07-07,madrid,Trigo,1500,3000,27,6,0.0,14.5
2008-07-08,madrid,Trigo,1500,3000,30,6,0.0,14.5
2008-07-09,madrid,Trigo,1500,3000,32,6,0.0,14.5
2008-07-10,madrid,Trigo,1500,3000,32,6,0.0,14.5
2008-07-11,madrid,Trigo,1500,3000,30,6,0.0,14.5
2008-07-12,madrid,Trigo,1500,3000,26,6,0.0,14.5
2008-07-13,madrid,Trigo,1500,3000,27,5,0.0,14.5
2008-07-14,madrid,Trigo,1500,3000,30,6,0.0,14.5
2008-07-15,madrid,Trigo,1500,3000,30,6,0.0,14.5
2008-07-16,madrid,Trigo,1500,3000,29,6,0.7,14.5
2008-07-17,madrid,Trigo,1500,3000,33,6,0.0,14.5
2008-07-18,madrid,Trigo,1500,3000,35,7,0.0,14.4
2008-07-19,madrid,Trigo,1500,3000,36,7,0.0,14.4
2008-07-20,madrid,Trigo,1500,3000,34,7,0.0,14.4
2008-07-21,madrid,Trigo,1500,3000,35,7,0.0,14.4
2008-07-22,madrid,Trigo,1500,3000,35,7,0.0,14.4
2008-07-23,madrid,Trigo,1500,3000,37,7,0.0,14.3
2008-07-24,madrid,Trigo,1500,3000,31,7,0.0,14.3
2008-07-25,madrid,Trigo,1500,3000,31,6,0.0,14.3
2008-07-26,madrid,Trigo,1500,3000,32,6,0.0,14.3
2008-07-27,madrid,Trigo,1500,3000,33,7,0.0,14.3
2008-07-28,madrid,Trigo,1500,3000,31,6,0.0,14.3
2008-07-29,madrid,Trigo,1500,3000,33,6,0.0,14.2
2008-07-30,madrid,Trigo,1500,3000,33,6,0.0,14.2
2008-07-31,madrid,Trigo,1500,3000,33,6,0.0,14.2
2008-08-01,madrid,Trigo,1500,3000,33,7,0.0,14.2
2008-08-02,madrid,Trigo,1500,3000,36,7,0.0,14.2
2008-08-03,madrid,Trigo,1500,3000,36,7,0.0,14.1
2008-08-04,madrid,Trigo,1500,3000,37,7,0.0,14.1
2008-08-05,madrid,Trigo,1500,3000,37,7,0.0,14.1
2008-08-06,madrid,Trigo,1500,3000,34,7,0.0,14.1
2008-08-07,madrid,Trigo,1500,3000,32,7,0.0,14.0
2008-08-08,madrid,Trigo,1500,3000,33,6,0.0,14.0
2008-08-09,madrid,Trigo,1500,3000,34,6,0.0,14.0
2008-08-10,madrid,Trigo,1500,3000,35,7,0.0,14.0
2008-08-11,madrid,Trigo,1500,3000,32,7,0.0,14.0
2008-08-12,madrid,Trigo,1500,3000,29,6,0.0,13.9
2008-08-13,madrid,Trigo,1500,3000,30,6,0.0,13.9
2008-08-14,madrid,Trigo,1500,3000,27,6,0.0,13.9
2008-08-15,madrid,Trigo,1500,3000,28,5,0.0,13.9
2008-08-16,madrid,Trigo,1500,3000,26,5,0.0,13.8
2008-08-17,madrid,Trigo,1500,3000,29,6,0.0,13.8
2008-08-18,madrid,Trigo,1500,3000,31,6,0.0,13.8
2008-08-19,madrid,Trigo,1500,3000,31,6,0.0,13.8
2008-08-20,madrid,Trigo,1500,3000,31,6,0.0,13.7
