,,city,0
date_time,count,Barcelona,3946
date_time,count,Bilbao,3946
date_time,count,Lisboa,3946
date_time,count,Madrid,3946
date_time,count,Malaga,3946
date_time,count,Oporto,3946
date_time,count,Sevilla,3946
date_time,count,Valencia,3946
date_time,count,Vigo,3946
date_time,count,Zaragoza,3946
date_time,mean,Barcelona,2013-11-24 12:00:00
date_time,mean,Bilbao,2013-11-24 12:00:00
date_time,mean,Lisboa,2013-11-24 12:00:00
date_time,mean,Madrid,2013-11-24 12:00:00
date_time,mean,Malaga,2013-11-24 12:00:00
date_time,mean,Oporto,2013-11-24 12:00:00
date_time,mean,Sevilla,2013-11-24 12:00:00
date_time,mean,Valencia,2013-11-24 12:00:00
date_time,mean,Vigo,2013-11-24 12:00:00
date_time,mean,Zaragoza,2013-11-24 12:00:00
date_time,min,Barcelona,2008-07-01 00:00:00
date_time,min,Bilbao,2008-07-01 00:00:00
date_time,min,Lisboa,2008-07-01 00:00:00
date_time,min,Madrid,2008-07-01 00:00:00
date_time,min,Malaga,2008-07-01 00:00:00
date_time,min,Oporto,2008-07-01 00:00:00
date_time,min,Sevilla,2008-07-01 00:00:00
date_time,min,Valencia,2008-07-01 00:00:00
date_time,min,Vigo,2008-07-01 00:00:00
date_time,min,Zaragoza,2008-07-01 00:00:00
date_time,25%,Barcelona,2011-03-14 06:00:00
date_time,25%,Bilbao,2011-03-14 06:00:00
date_time,25%,Lisboa,2011-03-14 06:00:00
date_time,25%,Madrid,2011-03-14 06:00:00
date_time,25%,Malaga,2011-03-14 06:00:00
date_time,25%,Oporto,2011-03-14 06:00:00
date_time,25%,Sevilla,2011-03-14 06:00:00
date_time,25%,Valencia,2011-03-14 06:00:00
date_time,25%,Vigo,2011-03-14 06:00:00
date_time,25%,Zaragoza,2011-03-14 06:00:00
date_time,50%,Barcelona,2013-11-24 12:00:00
date_time,50%,Bilbao,2013-11-24 12:00:00
date_time,50%,Lisboa,2013-11-24 12:00:00
date_time,50%,Madrid,2013-11-24 12:00:00
date_time,50%,Malaga,2013-11-24 12:00:00
date_time,50%,Oporto,2013-11-24 12:00:00
date_time,50%,Sevilla,2013-11-24 12:00:00
date_time,50%,Valencia,2013-11-24 12:00:00
date_time,50%,Vigo,2013-11-24 12:00:00
date_time,50%,Zaragoza,2013-11-24 12:00:00
date_time,75%,Barcelona,2016-08-06 18:00:00
date_time,75%,Bilbao,2016-08-06 18:00:00
date_time,75%,Lisboa,2016-08-06 18:00:00
date_time,75%,Madrid,2016-08-06 18:00:00
date_time,75%,Malaga,2016-08-06 18:00:00
date_time,75%,Oporto,2016-08-06 18:00:00
date_time,75%,Sevilla,2016-08-06 18:00:00
date_time,75%,Valencia,2016-08-06 18:00:00
date_time,75%,Vigo,2016-08-06 18:00:00
date_time,75%,Zaragoza,2016-08-06 18:00:00
date_time,max,Barcelona,2019-04-20 00:00:00
date_time,max,Bilbao,2019-04-20 00:00:00
date_time,max,Lisboa,2019-04-20 00:00:00
date_time,max,Madrid,2019-04-20 00:00:00
date_time,max,Malaga,2019-04-20 00:00:00
date_time,max,Oporto,2019-04-20 00:00:00
date_time,max,Sevilla,2019-04-20 00:00:00
date_time,max,Valencia,2019-04-20 00:00:00
date_time,max,Vigo,2019-04-20 00:00:00
date_time,max,Zaragoza,2019-04-20 00:00:00
date_time,std,Barcelona,
date_time,std,Bilbao,
date_time,std,Lisboa,
date_time,std,Madrid,
date_time,std,Malaga,
date_time,std,Oporto,
date_time,std,Sevilla,
date_time,std,Valencia,
date_time,std,Vigo,
date_time,std,Zaragoza,
maxtempC,count,Barcelona,3946.0
maxtempC,count,Bilbao,3946.0
maxtempC,count,Lisboa,3946.0
maxtempC,count,Madrid,3946.0
maxtempC,count,Malaga,3946.0
maxtempC,count,Oporto,3946.0
maxtempC,count,Sevilla,3946.0
maxtempC,count,Valencia,3946.0
maxtempC,count,Vigo,3946.0
maxtempC,count,Zaragoza,3946.0
maxtempC,mean,Barcelona,19.24404460212874
maxtempC,mean,Bilbao,16.316523061327928
maxtempC,mean,Lisboa,20.458945767866194
maxtempC,mean,Madrid,20.05701976685251
maxtempC,mean,Malaga,20.47389761784085
maxtempC,mean,Oporto,24.7181956411556
maxtempC,mean,Sevilla,25.05068423720223
maxtempC,mean,Valencia,28.35656360871769
maxtempC,mean,Vigo,17.36796756208819
maxtempC,mean,Zaragoza,20.00025342118601
maxtempC,min,Barcelona,4.0
maxtempC,min,Bilbao,1.0
maxtempC,min,Lisboa,8.0
maxtempC,min,Madrid,0.0
maxtempC,min,Malaga,6.0
maxtempC,min,Oporto,5.0
maxtempC,min,Sevilla,3.0
maxtempC,min,Valencia,21.0
maxtempC,min,Vigo,4.0
maxtempC,min,Zaragoza,0.0
maxtempC,25%,Barcelona,14.0
maxtempC,25%,Bilbao,12.0
maxtempC,25%,Lisboa,16.0
maxtempC,25%,Madrid,12.0
maxtempC,25%,Malaga,16.0
maxtempC,25%,Oporto,21.0
maxtempC,25%,Sevilla,18.0
maxtempC,25%,Valencia,27.0
maxtempC,25%,Vigo,13.0
maxtempC,25%,Zaragoza,13.0
maxtempC,50%,Barcelona,19.0
maxtempC,50%,Bilbao,16.0
maxtempC,50%,Lisboa,20.0
maxtempC,50%,Madrid,19.0
maxtempC,50%,Malaga,20.0
maxtempC,50%,Oporto,25.0
maxtempC,50%,Sevilla,24.0
maxtempC,50%,Valencia,28.0
maxtempC,50%,Vigo,17.0
maxtempC,50%,Zaragoza,19.0
maxtempC,75%,Barcelona,24.0
maxtempC,75%,Bilbao,20.0
maxtempC,75%,Lisboa,25.0
maxtempC,75%,Madrid,28.0
maxtempC,75%,Malaga,25.0
maxtempC,75%,Oporto,29.0
maxtempC,75%,Sevilla,33.0
maxtempC,75%,Valencia,29.0
maxtempC,75%,Vigo,22.0
maxtempC,75%,Zaragoza,27.0
maxtempC,max,Barcelona,34.0
maxtempC,max,Bilbao,33.0
maxtempC,max,Lisboa,40.0
maxtempC,max,Madrid,40.0
maxtempC,max,Malaga,35.0
maxtempC,max,Oporto,40.0
maxtempC,max,Sevilla,45.0
maxtempC,max,Valencia,35.0
maxtempC,max,Vigo,33.0
maxtempC,max,Zaragoza,41.0
maxtempC,std,Barcelona,5.914601061409584
maxtempC,std,Bilbao,5.409414473124942
maxtempC,std,Lisboa,5.275186412756124
maxtempC,std,Madrid,8.93446312425919
maxtempC,std,Malaga,5.619173483252597
maxtempC,std,Oporto,5.741597344304366
maxtempC,std,Sevilla,8.57783069932907
maxtempC,std,Valencia,1.8224981116393026
maxtempC,std,Vigo,5.39322466328411
maxtempC,std,Zaragoza,8.452791437092285
mintempC,count,Barcelona,3946.0
mintempC,count,Bilbao,3946.0
mintempC,count,Lisboa,3946.0
mintempC,count,Madrid,3946.0
mintempC,count,Malaga,3946.0
mintempC,count,Oporto,3946.0
mintempC,count,Sevilla,3946.0
mintempC,count,Valencia,3946.0
mintempC,count,Vigo,3946.0
mintempC,count,Zaragoza,3946.0
mintempC,mean,Barcelona,13.475164723770908
mintempC,mean,Bilbao,11.200202736948809
mintempC,mean,Lisboa,13.53522554485555
mintempC,mean,Madrid,9.631018753167766
mintempC,mean,Malaga,15.346933603649266
mintempC,mean,Oporto,15.008616320324379
mintempC,mean,Sevilla,13.291941206284845
mintempC,mean,Valencia,20.827927014698428
mintempC,mean,Vigo,10.70248352762291
mintempC,mean,Zaragoza,10.158134820070957
mintempC,min,Barcelona,-2.0
mintempC,min,Bilbao,-3.0
mintempC,min,Lisboa,2.0
mintempC,min,Madrid,-6.0
mintempC,min,Malaga,2.0
mintempC,min,Oporto,-1.0
mintempC,min,Sevilla,-2.0
mintempC,min,Valencia,17.0
mintempC,min,Vigo,-1.0
mintempC,min,Zaragoza,-6.0
mintempC,25%,Barcelona,9.0
mintempC,25%,Bilbao,8.0
mintempC,25%,Lisboa,11.0
mintempC,25%,Madrid,4.0
mintempC,25%,Malaga,11.0
mintempC,25%,Oporto,12.0
mintempC,25%,Sevilla,8.0
mintempC,25%,Valencia,20.0
mintempC,25%,Vigo,8.0
mintempC,25%,Zaragoza,5.0
mintempC,50%,Barcelona,13.0
mintempC,50%,Bilbao,11.0
mintempC,50%,Lisboa,14.0
mintempC,50%,Madrid,9.0
mintempC,50%,Malaga,15.0
mintempC,50%,Oporto,15.0
mintempC,50%,Sevilla,13.0
mintempC,50%,Valencia,21.0
mintempC,50%,Vigo,11.0
mintempC,50%,Zaragoza,9.0
mintempC,75%,Barcelona,19.0
mintempC,75%,Bilbao,15.0
mintempC,75%,Lisboa,17.0
mintempC,75%,Madrid,16.0
mintempC,75%,Malaga,20.0
mintempC,75%,Oporto,19.0
mintempC,75%,Sevilla,19.0
mintempC,75%,Valencia,22.0
mintempC,75%,Vigo,14.0
mintempC,75%,Zaragoza,15.0
mintempC,max,Barcelona,29.0
mintempC,max,Bilbao,22.0
mintempC,max,Lisboa,27.0
mintempC,max,Madrid,27.0
mintempC,max,Malaga,27.0
mintempC,max,Oporto,29.0
mintempC,max,Sevilla,28.0
mintempC,max,Valencia,24.0
mintempC,max,Vigo,23.0
mintempC,max,Zaragoza,26.0
mintempC,std,Barcelona,5.766123394182639
mintempC,std,Bilbao,4.268724942316914
mintempC,std,Lisboa,3.74739803771172
mintempC,std,Madrid,7.031177415199262
mintempC,std,Malaga,4.978993843635147
mintempC,std,Oporto,4.719125046321189
mintempC,std,Sevilla,6.151646841863679
mintempC,std,Valencia,1.1007731403240488
mintempC,std,Vigo,3.7996969948379173
mintempC,std,Zaragoza,6.40107175500667
totalSnow_cm,count,Barcelona,3946.0
totalSnow_cm,count,Bilbao,3946.0
totalSnow_cm,count,Lisboa,3946.0
totalSnow_cm,count,Madrid,3946.0
totalSnow_cm,count,Malaga,3946.0
totalSnow_cm,count,Oporto,3946.0
totalSnow_cm,count,Sevilla,3946.0
totalSnow_cm,count,Valencia,3946.0
totalSnow_cm,count,Vigo,3946.0
totalSnow_cm,count,Zaragoza,3946.0
totalSnow_cm,mean,Barcelona,0.0006082108464267613
totalSnow_cm,mean,Bilbao,0.005676634566649771
totalSnow_cm,mean,Lisboa,0.0
totalSnow_cm,mean,Madrid,0.00978205778003041
totalSnow_cm,mean,Malaga,0.0
totalSnow_cm,mean,Oporto,0.0
totalSnow_cm,mean,Sevilla,0.0
totalSnow_cm,mean,Valencia,0.0
totalSnow_cm,mean,Vigo,0.0
totalSnow_cm,mean,Zaragoza,0.0010136847440446023
totalSnow_cm,min,Barcelona,0.0
totalSnow_cm,min,Bilbao,0.0
totalSnow_cm,min,Lisboa,0.0
totalSnow_cm,min,Madrid,0.0
totalSnow_cm,min,Malaga,0.0
totalSnow_cm,min,Oporto,0.0
totalSnow_cm,min,Sevilla,0.0
totalSnow_cm,min,Valencia,0.0
totalSnow_cm,min,Vigo,0.0
totalSnow_cm,min,Zaragoza,0.0
totalSnow_cm,25%,Barcelona,0.0
totalSnow_cm,25%,Bilbao,0.0
totalSnow_cm,25%,Lisboa,0.0
totalSnow_cm,25%,Madrid,0.0
totalSnow_cm,25%,Malaga,0.0
totalSnow_cm,25%,Oporto,0.0
totalSnow_cm,25%,Sevilla,0.0
totalSnow_cm,25%,Valencia,0.0
totalSnow_cm,25%,Vigo,0.0
totalSnow_cm,25%,Zaragoza,0.0
totalSnow_cm,50%,Barcelona,0.0
totalSnow_cm,50%,Bilbao,0.0
totalSnow_cm,50%,Lisboa,0.0
totalSnow_cm,50%,Madrid,0.0
totalSnow_cm,50%,Malaga,0.0
totalSnow_cm,50%,Oporto,0.0
totalSnow_cm,50%,Sevilla,0.0
totalSnow_cm,50%,Valencia,0.0
totalSnow_cm,50%,Vigo,0.0
totalSnow_cm,50%,Zaragoza,0.0
totalSnow_cm,75%,Barcelona,0.0
totalSnow_cm,75%,Bilbao,0.0
totalSnow_cm,75%,Lisboa,0.0
totalSnow_cm,75%,Madrid,0.0
totalSnow_cm,75%,Malaga,0.0
totalSnow_cm,75%,Oporto,0.0
totalSnow_cm,75%,Sevilla,0.0
totalSnow_cm,75%,Valencia,0.0
totalSnow_cm,75%,Vigo,0.0
totalSnow_cm,75%,Zaragoza,0.0
totalSnow_cm,max,Barcelona,1.1
totalSnow_cm,max,Bilbao,3.5
totalSnow_cm,max,Lisboa,0.0
totalSnow_cm,max,Madrid,5.9
totalSnow_cm,max,Malaga,0.0
totalSnow_cm,max,Oporto,0.0
totalSnow_cm,max,Sevilla,0.0
